Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
3/31/2014,1293.44,1298.37,1282.4,1283.65,-10.27,-0.79%,142930,367561
4/1/2014,1283.77,1287.84,1277.62,1278.73,-4.92,-0.38%,122057,363451
4/2/2014,1278.66,1294.34,1278.26,1289.63,10.9,0.85%,132183,364740
4/3/2014,1289.73,1293.82,1281.62,1286.44,-3.19,-0.25%,106729,363408
4/4/2014,1286.59,1306.51,1284.11,1302.62,16.18,1.26%,158415,362838
4/7/2014,1304.62,1304.62,1295.53,1297,-5.62,-0.43%,89338,362935
4/8/2014,1296.89,1314.23,1296.47,1308.24,11.24,0.87%,129368,365400
4/9/2014,1308.24,1314.9,1300.78,1311.57,3.33,0.25%,139138,364183
4/10/2014,1311.57,1324.38,1310.7,1318.63,7.06,0.54%,134677,368378
4/11/2014,1318.75,1323.72,1314.08,1318.08,-0.55,-0.04%,100700,364051
4/14/2014,1318.04,1330.99,1318.02,1327.67,9.59,0.73%,106857,369477
4/15/2014,1327.66,1327.96,1289.52,1302.41,-25.26,-1.90%,199031,369577
4/16/2014,1302.51,1306.83,1293.62,1302.23,-0.18,-0.01%,126793,369790
4/17/2014,1302.33,1303.97,1293.14,1294.87,-7.36,-0.57%,110923,369177
4/21/2014,1294.9,1301.22,1281.82,1289.61,-5.26,-0.41%,105062,370187
4/22/2014,1289.45,1292.59,1277.65,1283.56,-6.05,-0.47%,132281,372593
4/23/2014,1283.65,1288.77,1280.67,1283.56,0,0.00%,113449,375314
4/24/2014,1283.49,1298.14,1268.51,1293.06,9.5,0.74%,198137,378176
4/25/2014,1293.23,1304.92,1290.32,1303.48,10.42,0.81%,114854,376789
4/28/2014,1302.26,1306.39,1292,1296.41,-7.07,-0.54%,111698,376085
4/29/2014,1296.57,1301.09,1286.25,1295.67,-0.74,-0.06%,110258,378092
4/30/2014,1295.7,1297.46,1285.03,1291.16,-4.51,-0.35%,150890,380212
5/1/2014,1291.36,1292.72,1277.19,1283.95,-7.21,-0.56%,124461,384493
5/2/2014,1284.13,1304.48,1272.65,1299.58,15.63,1.22%,179796,389386
5/5/2014,1300.2,1315.43,1299.48,1309.96,10.38,0.80%,134507,398636
5/6/2014,1309.99,1313.87,1301.09,1307.74,-2.22,-0.17%,126858,404700
5/7/2014,1307.87,1314.33,1286.57,1289.71,-18.03,-1.38%,204183,409081
5/8/2014,1289.79,1295.05,1285.23,1289.13,-0.58,-0.04%,136218,407389
5/9/2014,1289.06,1294.21,1285.53,1288.59,-0.54,-0.04%,149411,407176
5/12/2014,1288.8,1303.47,1276.48,1295.53,6.94,0.54%,158099,402879
5/13/2014,1295.58,1298.47,1289.05,1293.32,-2.21,-0.17%,151697,397029
5/14/2014,1293.28,1308.75,1291.45,1305.61,12.29,0.95%,139835,399829
5/15/2014,1305.59,1306.97,1290.91,1295.88,-9.73,-0.75%,163424,394528
5/16/2014,1295.89,1298,1287.71,1292.43,-3.45,-0.27%,148723,389243
5/19/2014,1293.03,1305.16,1289,1292.78,0.35,0.03%,121334,392483
5/20/2014,1292.91,1296.69,1285.99,1293.97,1.19,0.09%,156637,399371
5/21/2014,1293.98,1296.02,1283.44,1291.79,-2.18,-0.17%,151037,401328
5/22/2014,1291.9,1303.48,1289.94,1293.92,2.13,0.16%,153749,404617
5/23/2014,1293.95,1295.34,1286.97,1292.23,-1.69,-0.13%,233423,396088
5/27/2014,1292.34,1293.19,1264.25,1264.51,-27.72,-2.15%,351192,397695
5/28/2014,1264.38,1267.14,1255.87,1257.81,-6.7,-0.53%,315282,374250
5/29/2014,1257.64,1260.36,1251.37,1255.41,-2.4,-0.19%,185539,374035
5/30/2014,1255.28,1260.27,1242.18,1250.43,-4.98,-0.40%,145733,377338
6/2/2014,1249.2,1250.48,1240.83,1243.59,-6.84,-0.55%,95593,381240
6/3/2014,1243.7,1247.48,1240.61,1244.76,1.17,0.09%,92361,382141
6/4/2014,1244.75,1248.84,1242.68,1243.69,-1.07,-0.09%,80368,382924
6/5/2014,1243.51,1257.05,1241.02,1253.35,9.66,0.78%,129522,379521
6/6/2014,1253.42,1257.35,1245.85,1252.54,-0.81,-0.06%,118078,382374
6/9/2014,1252.52,1256.87,1251.46,1251.93,-0.61,-0.05%,57779,381422
6/10/2014,1252.04,1263.29,1250.1,1259.6,7.67,0.61%,130044,378689
6/11/2014,1259.52,1265.15,1257.57,1260.77,1.17,0.09%,81798,379330
6/12/2014,1260.76,1274.65,1259.68,1273.03,12.26,0.97%,120582,381060
6/13/2014,1273.03,1277.7,1270.68,1276.64,3.61,0.28%,87034,379206
6/16/2014,1276.75,1284.65,1270.5,1271.67,-4.97,-0.39%,101463,378151
6/17/2014,1271.83,1273.07,1258.87,1270.31,-1.36,-0.11%,116630,379843
6/18/2014,1270.25,1278.26,1266.15,1277.31,7,0.55%,89610,381098
6/19/2014,1277.22,1321.41,1275.76,1319.89,42.58,3.33%,245499,387266
6/20/2014,1318.89,1319.69,1306.28,1314.01,-5.88,-0.45%,172822,386783
6/23/2014,1314.46,1318.36,1309.84,1317.24,3.23,0.25%,125001,390711
6/24/2014,1317.3,1325.68,1313.71,1317.92,0.68,0.05%,127692,392388
6/25/2014,1317.87,1324.68,1310.18,1318.86,0.94,0.07%,148679,396565
6/26/2014,1318.91,1319.69,1306.18,1316.21,-2.65,-0.20%,141370,397652
6/27/2014,1316.22,1322.07,1312.59,1315.12,-1.09,-0.08%,111100,399413
6/30/2014,1315.9,1329.32,1310.33,1327.04,11.92,0.91%,134469,401090
7/1/2014,1327.26,1331.95,1323.61,1326.13,-0.91,-0.07%,127996,401813
7/2/2014,1325.98,1331.8,1321.23,1326.46,0.33,0.02%,125240,406558
7/3/2014,1326.78,1327.31,1308.24,1319.28,-7.18,-0.54%,165959,409130
7/7/2014,1320.48,1320.52,1311.45,1319.73,0.45,0.03%,125688,412266
7/8/2014,1319.64,1324.6,1313.29,1318.92,-0.81,-0.06%,163994,410992
7/9/2014,1319.11,1331.61,1317.77,1327.42,8.5,0.64%,214930,415043
7/10/2014,1327.4,1344.81,1324.43,1335.41,7.99,0.60%,219060,416799
7/11/2014,1335.55,1339.04,1333.57,1338.41,3,0.22%,121249,413193
7/14/2014,1338.11,1339.29,1303.15,1306.85,-31.56,-2.36%,240101,409348
7/15/2014,1306.76,1313.56,1292.22,1293.84,-13.01,-1.00%,203408,408368
7/16/2014,1293.9,1303.63,1293.12,1298.87,5.03,0.39%,147394,403872
7/17/2014,1298.99,1323.59,1297.5,1318.8,19.93,1.53%,195515,408662
7/18/2014,1318.81,1324.43,1304.41,1310.12,-8.68,-0.66%,144361,404332
7/21/2014,1310,1318.21,1307.3,1312.2,2.08,0.16%,105546,405070
7/22/2014,1312.27,1314.57,1301.86,1306.18,-6.02,-0.46%,144515,405617
7/23/2014,1306.2,1311.04,1303.01,1304.47,-1.71,-0.13%,108431,400327
7/24/2014,1304.37,1304.89,1287.56,1293.36,-11.11,-0.85%,217582,396308
7/25/2014,1293.28,1308.18,1290.82,1307.81,14.45,1.12%,178471,394938
7/28/2014,1306.7,1309.05,1301.16,1303.73,-4.08,-0.31%,209625,388055
7/29/2014,1303.76,1311.94,1296.04,1298.82,-4.91,-0.38%,354499,374417
7/30/2014,1298.8,1302.9,1291.82,1295.86,-2.96,-0.23%,176697,367848
7/31/2014,1295.94,1297.1,1280.74,1282.48,-13.38,-1.03%,158284,368538
8/1/2014,1282.23,1296.97,1279.85,1293.71,11.23,0.88%,153864,358996
8/4/2014,1293.52,1295.21,1285.95,1287.85,-5.86,-0.45%,77962,360080
8/5/2014,1287.86,1293.69,1282.31,1288.45,0.6,0.05%,115740,360342
8/6/2014,1288.35,1309.09,1287.5,1305.56,17.11,1.33%,175133,366526
8/7/2014,1305.55,1314.24,1301.85,1312.19,6.63,0.51%,137163,367745
8/8/2014,1312.16,1322.34,1305.99,1309.21,-2.98,-0.23%,166617,364209
8/11/2014,1309.26,1311.21,1305.08,1308.12,-1.09,-0.08%,71218,363584
8/12/2014,1308.28,1317.55,1305.53,1309.12,1,0.08%,111700,368114
8/13/2014,1309.04,1314.68,1304.68,1312.54,3.42,0.26%,105303,370204
8/14/2014,1312.41,1319.03,1308.57,1313.08,0.54,0.04%,110086,372200
8/15/2014,1313.21,1314.89,1292.47,1304.31,-8.77,-0.67%,203490,369084
8/18/2014,1304.46,1304.49,1295.37,1298.1,-6.21,-0.48%,80830,367902
8/19/2014,1298.12,1302.02,1293.7,1295.41,-2.69,-0.21%,84231,366401
8/20/2014,1295.43,1297.64,1287.77,1291.6,-3.81,-0.29%,90375,366352
8/21/2014,1291.54,1291.54,1272.7,1276.4,-15.2,-1.18%,154384,365102
8/22/2014,1276.44,1282.66,1274.16,1280.61,4.21,0.33%,96236,361862
8/25/2014,1277.89,1280.6,1274.37,1276.43,-4.18,-0.33%,57562,362471
8/26/2014,1276.5,1290.59,1275.32,1280.63,4.2,0.33%,110224,363608
8/27/2014,1280.77,1287.15,1279.48,1282.46,1.83,0.14%,79138,360935
8/28/2014,1282.5,1296.17,1282.15,1289.24,6.78,0.53%,118834,365562
8/29/2014,1289.28,1290.99,1283.26,1287.02,-2.22,-0.17%,81646,365115
9/2/2014,1286.88,1287.3,1262.42,1265.06,-21.96,-1.71%,205782,371515
9/3/2014,1265.04,1271.17,1261.17,1269.04,3.98,0.31%,120408,368523
9/4/2014,1269.03,1276.71,1260.48,1261.5,-7.54,-0.59%,164891,377111
9/5/2014,1261.6,1273.3,1257.17,1268.21,6.71,0.53%,116401,377931
9/8/2014,1268.3,1271.55,1251.36,1255.02,-13.19,-1.04%,129649,383175
9/9/2014,1254.97,1257.95,1247.44,1255.14,0.12,0.01%,143575,384341
9/10/2014,1255.11,1257.54,1243.83,1249.31,-5.83,-0.46%,151932,384670
9/11/2014,1249.49,1249.91,1235.25,1240.51,-8.8,-0.70%,171655,382693
9/12/2014,1240.49,1241.42,1227.48,1228.01,-12.5,-1.01%,151330,380847
9/15/2014,1229.25,1238.14,1225.47,1233.1,5.09,0.41%,108797,385529
9/16/2014,1233.02,1241.64,1231.69,1235.26,2.16,0.18%,133281,386080
9/17/2014,1235.26,1238.81,1221.41,1223.09,-12.17,-0.99%,138434,385464
9/18/2014,1223.08,1227.52,1215.91,1224.79,1.7,0.14%,157234,384296
9/19/2014,1224.71,1228.37,1213.69,1215.91,-8.88,-0.73%,179752,385224
9/22/2014,1215.16,1220.17,1208.19,1214.67,-1.24,-0.10%,143936,384526
9/23/2014,1214.76,1234.12,1214.07,1223.08,8.41,0.69%,166236,385788
9/24/2014,1223.11,1225.58,1215.72,1216.75,-6.33,-0.52%,139530,386423
9/25/2014,1216.78,1224.3,1206.9,1221.25,4.5,0.37%,200862,388085
9/26/2014,1221.3,1230.38,1212.28,1218.71,-2.54,-0.21%,175040,380779
9/29/2014,1218.04,1223.1,1214.82,1215.6,-3.11,-0.26%,115995,378311
9/30/2014,1215.42,1219.34,1204.54,1207.94,-7.66,-0.63%,191031,379874
10/1/2014,1207.97,1219.06,1204.62,1213.49,5.55,0.46%,151873,380473
10/2/2014,1213.44,1221.66,1208.72,1214.24,0.75,0.06%,153815,380012
10/3/2014,1214.24,1215.14,1189.86,1190.76,-23.48,-1.93%,191981,385559
10/6/2014,1190.76,1208.63,1182.93,1206.81,16.05,1.35%,152506,381142
10/7/2014,1206.72,1212.63,1202.76,1208.64,1.83,0.15%,149644,380087
10/8/2014,1208.7,1223.63,1204.84,1220.78,12.14,1.00%,203784,386149
10/9/2014,1220.84,1233.01,1218.88,1223.96,3.18,0.26%,171353,389069
10/10/2014,1223.99,1225.07,1217.34,1223.11,-0.85,-0.07%,127738,386186
10/13/2014,1222.83,1237.3,1222.43,1235.56,12.45,1.02%,126738,397729
10/14/2014,1235.6,1237.73,1231.18,1232.34,-3.22,-0.26%,115651,399089
10/15/2014,1232.55,1248.85,1221.82,1241.75,9.41,0.76%,272753,402871
10/16/2014,1241.78,1244.91,1235.54,1238.69,-3.06,-0.25%,184412,402509
10/17/2014,1238.72,1241.55,1232.02,1238.01,-0.68,-0.05%,125450,403776
10/20/2014,1237.91,1248.27,1234.57,1246.58,8.57,0.69%,100759,407459
10/21/2014,1246.56,1254.78,1245.23,1248.54,1.96,0.16%,173210,411057
10/22/2014,1248.35,1249.59,1240.41,1241.09,-7.45,-0.60%,123886,409425
10/23/2014,1240.97,1244.45,1226.3,1231.52,-9.57,-0.77%,151856,409101
10/24/2014,1231.53,1233.95,1228.84,1230.81,-0.71,-0.06%,106554,410909
10/27/2014,1230.6,1231.75,1225.45,1226.25,-4.56,-0.37%,96463,414315
10/28/2014,1226.18,1234.98,1222.35,1228.25,2,0.16%,131104,414410
