Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
11/10/2010,2178.36,2189.37,2162.62,2187.74,10.87,0.50%,297876,453883
11/11/2010,2153.82,2177.21,2145.09,2173.11,-14.63,-0.67%,316915,467583
11/12/2010,2161.65,2171.23,2122.42,2137.95,-35.16,-1.62%,393951,449913
11/15/2010,2147.06,2152.88,2129.69,2131.48,-6.47,-0.30%,260051,459220
11/16/2010,2114.43,2126.15,2085.27,2093.62,-37.86,-1.78%,408513,465344
11/17/2010,2093.72,2111.06,2090.34,2100,6.38,0.30%,260115,456346
11/18/2010,2124.79,2147.97,2121.86,2134.77,34.77,1.66%,299715,452939
11/19/2010,2129.61,2138.87,2121.11,2135.27,0.5,0.02%,216894,444164
11/22/2010,2126.39,2151,2121.74,2150.86,15.59,0.73%,284945,443421
11/23/2010,2128.19,2132.69,2105.61,2116.61,-34.25,-1.59%,343112,413327
11/24/2010,2138.24,2165.14,2138.14,2160.52,43.91,2.07%,268231,429198
11/26/2010,2146.37,2160.55,2142.69,2153.9,-6.62,-0.31%,112672,426026
11/29/2010,2144.04,2150.71,2118.94,2144.56,-9.34,-0.43%,295015,409629
11/30/2010,2119.47,2131.5,2110.24,2117.33,-27.23,-1.27%,320926,402007
12/1/2010,2150.63,2173.42,2150.63,2162.83,45.5,2.15%,309158,430273
12/2/2010,2166.57,2187.82,2164.53,2185.3,22.47,1.04%,237999,430937
12/3/2010,2177.11,2192.88,2176.28,2191.17,5.87,0.27%,183048,430490
12/6/2010,2192.12,2193.86,2183.03,2189.81,-1.36,-0.06%,174353,415714
12/7/2010,2214.99,2215.28,2188.74,2189.35,-0.46,-0.02%,239062,412606
12/8/2010,2195.33,2201.34,2182.99,2200.6,11.25,0.51%,232947,418873
12/9/2010,2210.73,2213.01,2193.92,2201.57,0.97,0.04%,299363,436501
12/10/2010,2206.47,2217.48,2199.69,2215.34,13.77,0.63%,298254,479386
12/13/2010,2223.88,2225.22,2207.02,2207.45,-7.89,-0.36%,368718,494614
12/14/2010,2213.23,2220.42,2205.21,2212.59,5.14,0.23%,342066,520747
12/15/2010,2210.51,2223.67,2196.87,2202.45,-10.14,-0.46%,421638,524239
12/16/2010,2205.27,2221.98,2198.86,2218.02,15.57,0.71%,310429,545564
12/17/2010,2222.01,2227.04,2217.11,2218.29,0.27,0.01%,158470,332350
12/20/2010,2225.4,2230.55,2206.3,2223.04,4.75,0.21%,172542,330942
12/21/2010,2230.61,2235.58,2226.25,2234.57,11.53,0.52%,103235,333555
12/22/2010,2234.6,2238.92,2231.97,2235.9,1.33,0.06%,89894,330002
12/23/2010,2232.84,2235.11,2225.29,2230.27,-5.63,-0.25%,87971,319388
12/27/2010,2223.76,2234.42,2208.8,2229.86,-0.41,-0.02%,139766,331189
12/28/2010,2234.56,2236.17,2222.76,2227.42,-2.44,-0.11%,80307,323261
12/29/2010,2232.33,2236.19,2229.87,2231.63,4.21,0.19%,64617,326750
12/30/2010,2230.38,2232.37,2222.77,2225.72,-5.91,-0.26%,85970,331069
12/31/2010,2223.28,2225,2209.37,2217.86,-7.86,-0.35%,100161,328249
1/3/2011,2238.65,2268.3,2237.79,2254.23,36.37,1.64%,276842,368116
1/4/2011,2261.64,2263.03,2237.73,2251.46,-2.77,-0.12%,216450,358757
1/5/2011,2245.39,2271.08,2243.87,2270.39,18.93,0.84%,213701,373086
1/6/2011,2272.33,2279.45,2268.59,2277.51,7.12,0.31%,177408,368939
1/7/2011,2280.12,2282.87,2254.22,2276.7,-0.81,-0.04%,279492,367744
1/10/2011,2270.64,2288.63,2265,2284.37,7.67,0.34%,198381,365990
1/11/2011,2294.65,2296.14,2279.48,2288.73,4.36,0.19%,208586,354431
1/12/2011,2298.62,2304.87,2289.05,2304.87,16.14,0.71%,176971,358300
1/13/2011,2303.6,2310.82,2298.62,2305.53,0.66,0.03%,186059,351599
1/14/2011,2304.37,2323.43,2300.25,2323.43,17.9,0.78%,178047,359372
1/18/2011,2300.93,2331.32,2299.37,2328.79,5.36,0.23%,289808,375996
1/19/2011,2329.93,2331.62,2294.88,2303.32,-25.47,-1.09%,293368,372247
1/20/2011,2292.17,2295.24,2268.59,2286.08,-17.24,-0.75%,351167,376373
1/21/2011,2295.14,2301.05,2267.17,2268.32,-17.76,-0.78%,252704,367461
1/24/2011,2271.73,2300.38,2268.72,2300.38,32.06,1.41%,223035,387090
1/25/2011,2288.5,2304.04,2283.79,2304.03,3.65,0.16%,250815,383350
1/26/2011,2306.99,2321.22,2300.11,2314.19,10.16,0.44%,218394,379962
1/27/2011,2322.33,2336.04,2319.23,2330.07,15.88,0.69%,242811,373902
1/28/2011,2330.07,2330.07,2260.6,2270.51,-59.56,-2.56%,435089,364432
1/31/2011,2274.22,2287.5,2258.05,2281.9,11.39,0.50%,316984,336938
2/1/2011,2298.37,2329.34,2296.74,2324.95,43.05,1.89%,300666,366300
2/2/2011,2317.88,2328.8,2316.22,2321.09,-3.86,-0.17%,193413,362481
